start_timestamp,end_timestamp,marketprice,unit,country
2022-11-26 07:00:00,2022-11-26 08:00:00,264.96,Eur/MWh,at
2022-11-26 08:00:00,2022-11-26 09:00:00,279.94,Eur/MWh,at
2022-11-26 09:00:00,2022-11-26 10:00:00,257.83,Eur/MWh,at
2022-11-26 10:00:00,2022-11-26 11:00:00,254.02,Eur/MWh,at
2022-11-26 11:00:00,2022-11-26 12:00:00,249.99,Eur/MWh,at
2022-11-26 12:00:00,2022-11-26 13:00:00,239.83,Eur/MWh,at
2022-11-26 13:00:00,2022-11-26 14:00:00,257.61,Eur/MWh,at
2022-11-26 14:00:00,2022-11-26 15:00:00,264.02,Eur/MWh,at
2022-11-26 15:00:00,2022-11-26 16:00:00,288.2,Eur/MWh,at
2022-11-26 16:00:00,2022-11-26 17:00:00,315.92,Eur/MWh,at
2022-11-26 17:00:00,2022-11-26 18:00:00,306.1,Eur/MWh,at
2022-11-26 18:00:00,2022-11-26 19:00:00,270.08,Eur/MWh,at
2022-11-26 19:00:00,2022-11-26 20:00:00,232.22,Eur/MWh,at
2022-11-26 20:00:00,2022-11-26 21:00:00,213.37,Eur/MWh,at
2022-11-26 21:00:00,2022-11-26 22:00:00,200.0,Eur/MWh,at
2022-11-26 22:00:00,2022-11-26 23:00:00,173.69,Eur/MWh,at
2022-11-26 23:00:00,2022-11-27 00:00:00,144.88,Eur/MWh,at
2022-11-27 00:00:00,2022-11-27 01:00:00,135.0,Eur/MWh,at
2022-11-27 01:00:00,2022-11-27 02:00:00,122.01,Eur/MWh,at
2022-11-27 02:00:00,2022-11-27 03:00:00,99.4,Eur/MWh,at
2022-11-27 03:00:00,2022-11-27 04:00:00,99.4,Eur/MWh,at
2022-11-27 04:00:00,2022-11-27 05:00:00,105.64,Eur/MWh,at
2022-11-27 05:00:00,2022-11-27 06:00:00,129.54,Eur/MWh,at
2022-11-27 06:00:00,2022-11-27 07:00:00,143.88,Eur/MWh,at
2022-11-27 07:00:00,2022-11-27 08:00:00,152.29,Eur/MWh,at
2022-11-27 08:00:00,2022-11-27 09:00:00,169.83,Eur/MWh,at
2022-11-27 09:00:00,2022-11-27 10:00:00,173.27,Eur/MWh,at
2022-11-27 10:00:00,2022-11-27 11:00:00,195.3,Eur/MWh,at
2022-11-27 11:00:00,2022-11-27 12:00:00,193.24,Eur/MWh,at
2022-11-27 12:00:00,2022-11-27 13:00:00,191.7,Eur/MWh,at
2022-11-27 13:00:00,2022-11-27 14:00:00,198.01,Eur/MWh,at
2022-11-27 14:00:00,2022-11-27 15:00:00,201.16,Eur/MWh,at
2022-11-27 15:00:00,2022-11-27 16:00:00,228.07,Eur/MWh,at
2022-11-27 16:00:00,2022-11-27 17:00:00,229.31,Eur/MWh,at
2022-11-27 17:00:00,2022-11-27 18:00:00,235.36,Eur/MWh,at
2022-11-27 18:00:00,2022-11-27 19:00:00,222.2,Eur/MWh,at
2022-11-27 19:00:00,2022-11-27 20:00:00,203.64,Eur/MWh,at
2022-11-27 20:00:00,2022-11-27 21:00:00,189.21,Eur/MWh,at
2022-11-27 21:00:00,2022-11-27 22:00:00,178.74,Eur/MWh,at
2022-11-27 22:00:00,2022-11-27 23:00:00,168.34,Eur/MWh,at
2022-11-27 23:00:00,2022-11-28 00:00:00,160.76,Eur/MWh,at
2022-11-28 00:00:00,2022-11-28 01:00:00,140.52,Eur/MWh,at
2022-11-28 01:00:00,2022-11-28 02:00:00,146.67,Eur/MWh,at
2022-11-28 02:00:00,2022-11-28 03:00:00,134.35,Eur/MWh,at
